date,recovered_cases,cumulative_recovered
2020/11/25,24365,5534010
2020/11/26,22877,5556887
2020/11/27,24549,5581436
2020/11/28,0,5581436
2020/11/29,0,5581436
2020/11/30,16366,5597802
2020/12/1,114503,5712305
2020/12/2,46989,5759294
2020/12/3,33245,5792539
2020/12/4,33206,5825745
2020/12/5,39093,5864838
2020/12/6,1819,5866657
2020/12/7,30869,5897526
2020/12/8,67966,5965492
2020/12/9,626,5966118
2020/12/10,77101,6043219
2020/12/11,35068,6078287
2020/12/12,0,6078287
2020/12/13,60062,6138349
2020/12/14,19700,6158049
2020/12/15,48434,6206483
2020/12/16,32709,6239192
2020/12/17,62355,6301547
2020/12/18,21408,6322955
2020/12/19,65983,6388938
2020/12/20,19579,6408517
2020/12/21,60793,6469310
2020/12/22,32031,6501341
2020/12/23,11376,6512717
2020/12/24,0,6512717
2020/12/25,0,6512717
2020/12/26,141472,6654189
2020/12/27,23046,6677235
2020/12/28,35522,6712757
2020/12/29,41354,6754111
2020/12/30,59981,6814092
2020/12/31,34752,6848844
2021/1/1,6528,6855372
2021/1/2,37884,6893256
2021/1/3,10916,6904172
2021/1/4,45873,6950045
2021/1/5,44800,6994845
2021/1/6,38441,7033286
2021/1/7,48235,7081521
2021/1/8,55296,7136817
2021/1/9,68593,7205410
2021/1/10,25926,7231336
2021/1/11,41901,7273237
2021/1/12,11708,7284945
2021/1/13,62135,7347080
2021/1/14,47659,7394739
2021/1/15,43336,7438075
2021/1/16,47748,7485823
2021/1/17,23186,7509009
2021/1/18,51451,7560460
2021/1/19,57620,7618080
2021/1/20,0,7618080
2021/1/21,55012,7673092
2021/1/22,73818,7746910
2021/1/23,29018,7775928
2021/1/24,45448,7821376
2021/1/25,43593,7864969
2021/1/26,31321,7896290
2021/1/27,67886,7964176
2021/1/28,15337,7979513
2021/1/29,87090,8066603
2021/1/30,82068,8148671
2021/1/31,27702,8176373
2021/2/1,25981,8202354
2021/2/2,55720,8258074
2021/2/3,53807,8311881
2021/2/4,54316,8366197
2021/2/5,29951,8396148
2021/2/6,32844,8428992
2021/2/7,38990,8467982
2021/2/8,10836,8478818
2021/2/9,98389,8577207
2021/2/10,39075,8616282
2021/2/11,20768,8637050
2021/2/12,54614,8691664
2021/2/13,48781,8740445
2021/2/14,24603,8765048
2021/2/15,56839,8821887
2021/2/16,25377,8847264
2021/2/17,86138,8933402
2021/2/18,27353,8960755
2021/2/19,27863,8988618
2021/2/20,81887,9070505
2021/2/21,25187,9095692
2021/2/22,12513,9108205
2021/2/23,81698,9189903
2021/2/24,24434,9214337
2021/2/25,50359,9264696
2021/2/26,44872,9309568
2021/2/27,61880,9371448
2021/2/28,10868,9382316
2021/3/1,55295,9437611
2021/3/2,68640,9506251
2021/3/3,42064,9548315
2021/3/4,57555,9605870
2021/3/5,41680,9647550
2021/3/6,38474,9686024
2021/3/7,53440,9739464
2021/3/8,86828,9826292
2021/3/9,52274,9878566
2021/3/10,43428,9921994
2021/3/11,61662,9983656
2021/3/12,57368,10041024
2021/3/13,43796,10084820
2021/3/14,28667,10113487
2021/3/15,82111,10195598
2021/3/16,65556,10261154
2021/3/17,65221,10326375
2021/3/18,57121,10383496
2021/3/19,52368,10435864
2021/3/20,40259,10476123
2021/3/21,33334,10509457
2021/3/22,102138,10611595
2021/3/23,53566,10665161
2021/3/24,84970,10750131
2021/3/25,58368,10808499
2021/3/26,78293,10886792
2021/3/27,61590,10948382
2021/3/28,55899,11004281
2021/3/29,17911,11022192
2021/3/30,63177,11085369
2021/3/31,96002,11181371
2021/4/1,58842,11240213
2021/4/2,37419,11277632
2021/4/3,49878,11327510
2021/4/4,16097,11343607
2021/4/5,61951,11405558
2021/4/6,53990,11459548
2021/4/7,132611,11592159
2021/4/8,76575,11668734
2021/4/9,53447,11722181
2021/4/10,17468,11739649
2021/4/11,139309,11878958
2021/4/12,13271,11892229
2021/4/13,82892,11975121
2021/4/14,58759,12033880
2021/4/15,50971,12084851
2021/4/16,78980,12163831
2021/4/17,49059,12212890
2021/4/18,90648,12303538
2021/4/19,43290,12346828
2021/4/20,78963,12425791
2021/4/21,10419,12436210
2021/4/22,94760,12530970
2021/4/23,55302,12586272
2021/4/24,19739,12606011
2021/4/25,8548,12614559
2021/4/26,92941,12707500
2021/4/27,107619,12815119
2021/4/28,34544,12849663
2021/4/29,92418,12942081
2021/4/30,49870,12991951
2021/5/1,31941,13023892
2021/5/2,59658,13083550
2021/5/3,51593,13135143
2021/5/4,35418,13170561
2021/5/5,84099,13254660
2021/5/6,30929,13285589
2021/5/7,114486,13400075
2021/5/8,21972,13422047
2021/5/9,35353,13457400
2021/5/10,23662,13481062
2021/5/11,111401,13592463
2021/5/12,29956,13622419
2021/5/13,40271,13662690
2021/5/14,40590,13703280
2021/5/15,7542,13710822
2021/5/16,53698,13764520
2021/5/17,92211,13856731
2021/5/18,101083,13957814
2021/5/19,85952,14043766
2021/5/20,36323,14080089
2021/5/21,23711,14103800
2021/5/22,28643,14132443
2021/5/23,0,14132443
2021/5/24,58201,14190644
2021/5/25,41347,14231991
2021/5/26,40183,14272174
2021/5/27,183636,14455810
2021/5/28,36891,14492701
2021/5/29,3523,14496224
2021/5/30,44283,14540507
2021/5/31,45502,14586009
2021/6/1,108941,14694950
2021/6/2,68744,14763694
2021/6/3,0,14763694
2021/6/4,105300,14868994
2021/6/5,75075,14944069
2021/6/6,56649,15000718
2021/6/7,19079,15019797
2021/6/8,35950,15055747
2021/6/9,98354,15154101
2021/6/10,57075,15211176
2021/6/11,49283,15260459
2021/6/12,10661,15271120
2021/6/13,129049,15400169
2021/6/14,21228,15421397
2021/6/15,98558,15519955
2021/6/16,49601,15569556
2021/6/17,91058,15660614
2021/6/18,26575,15687189
2021/6/19,58274,15745463
2021/6/20,0,15745463
2021/6/21,74301,15819764
2021/6/22,42332,15862096
2021/6/23,146175,16008271
2021/6/24,29959,16038230
2021/6/25,59481,16097711
2021/6/26,48897,16146608
2021/6/27,14218,16160826
2021/6/28,79554,16240380
2021/6/29,37405,16277785
2021/6/30,21473,16299258
2021/7/1,177995,16477253
