date,recovered_cases,cumulative_recovered
2021/4/3,1207,1476605
2021/4/4,758,1477363
2021/4/5,725,1478088
2021/4/6,732,1478820
2021/4/7,1001,1479821
2021/4/8,811,1480632
2021/4/9,1005,1481637
2021/4/10,1045,1482682
2021/4/11,614,1483296
2021/4/12,1060,1484356
2021/4/13,959,1485315
2021/4/14,1558,1486873
2021/4/15,1187,1488060
2021/4/16,512,1488572
2021/4/17,885,1489457
2021/4/18,686,1490143
2021/4/19,733,1490876
2021/4/20,3754,1494630
2021/4/21,1234,1495864
2021/4/22,892,1496756
2021/4/23,2354,1499110
2021/4/24,1250,1500360
2021/4/25,825,1501185
2021/4/26,695,1501880
2021/4/27,1106,1502986
2021/4/28,625,1503611
2021/4/29,815,1504426
2021/4/30,1194,1505620
2021/5/1,1112,1506732
2021/5/2,1046,1507778
2021/5/3,780,1508558
2021/5/4,1098,1509656
2021/5/5,729,1510385
2021/5/6,1520,1511905
2021/5/7,1297,1513202
2021/5/8,0,1513202
2021/5/9,3054,1516256
2021/5/10,1094,1517350
2021/5/11,1908,1519258
2021/5/12,476,1519734
2021/5/13,1144,1520878
2021/5/14,1287,1522165
2021/5/15,1078,1523243
2021/5/16,1109,1524352
2021/5/17,2286,1526638
2021/5/18,1330,1527968
2021/5/19,900,1528868
2021/5/20,3125,1531993
2021/5/21,2357,1534350
2021/5/22,3080,1537430
2021/5/23,1965,1539395
2021/5/24,1855,1541250
2021/5/25,2701,1543951
2021/5/26,2632,1546583
2021/5/27,1509,1548092
2021/5/28,3428,1551520
2021/5/29,2664,1554184
2021/5/30,0,1554184
2021/5/31,5153,1559337
2021/6/1,4382,1563719
2021/6/2,1965,1565684
2021/6/3,1951,1567635
2021/6/4,3340,1570975
2021/6/5,3248,1574223
2021/6/6,3810,1578033
2021/6/7,3507,1581540
2021/6/8,5475,1587015
2021/6/9,2486,1589501
2021/6/10,3558,1593059
2021/6/11,5234,1598293
2021/6/12,4113,1602406
2021/6/13,4175,1606581
2021/6/14,4866,1611447
2021/6/15,4958,1616405
2021/6/16,3912,1620317
2021/6/17,3002,1623319
2021/6/18,8863,1632182
2021/6/19,8667,1640849
2021/6/20,6654,1647503
2021/6/21,9177,1656680
2021/6/22,8860,1665540
2021/6/23,5851,1671391
2021/6/24,4436,1675827
2021/6/25,14553,1690380
2021/6/26,11690,1702070
2021/6/27,7929,1709999
2021/6/28,13883,1723882
2021/6/29,16094,1739976
2021/6/30,8066,1748042
2021/7/1,6751,1754793
2021/7/2,19137,1773930
2021/7/3,18431,1792361
2021/7/4,15721,1808082
2021/7/5,19739,1827821
2021/7/6,17217,1845038
2021/7/7,8766,1853804
2021/7/8,9096,1862900
2021/7/9,21270,1884170
2021/7/10,19937,1904107
2021/7/11,18494,1922601
2021/7/12,20912,1943513
2021/7/13,17935,1961448
2021/7/14,9068,1970516
2021/7/15,11606,1982122
2021/7/16,27334,2009456
2021/7/17,19425,2028881
2021/7/18,21283,2050164
2021/7/19,18921,2069085
2021/7/20,16034,2085119
2021/7/21,13699,2098818
2021/7/22,11002,2109820
2021/7/23,23376,2133196
